glycan,circulatory_system,digestive_system,endocrine_system,immune_system,integumentary_system,lymphatic_system,muscular_system,nervous_system,other,reproductive_system,respiratory_system,sensory_system,skeletal_system,urinary_system
Ara(b1-3)Gal(b1-6)[Gal(a1-3)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fuc,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Fuc(?1-?)Glc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(?1-?)Gal(b1-3)GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(?1-?)Gal(b1-?)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(?1-?)Gal(b1-?)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(?1-?)[Fuc(a1-?)]HexNAc(?1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(a1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(a1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(a1-3)Gal(b1-4)Glc1Cer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)[Fuc(a1-3)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fuc(a1-2)Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,1,0,0,0,0,0
